Area,Average Price,Latitude,Longitude
Airport Road,"6,884",18.56154016,73.89221077
Akurdi,"6,572",18.64383967,73.77699893
Alandi,"4,271",18.67845932,73.89388934
Amanora Park Town,"7,997",18.5187766,73.93985667
Ambe Gaon,"5,209",18.44946915,73.84339768
Ambegaon Pathar,"4,336",18.45887593,73.84206529
Anand Nagar,"5,388",18.47453439,73.81814535
Ashoka Nagar,"7,226",18.55920941,73.94237092
Aundh,"9,360",18.56001776,73.80390528
B.T Kawade Road,"7,088",18.51771565,73.90674017
Balewadi,"7,508",18.58133742,73.77028909
Balewadi Gaon,"7,817",18.57627479,73.77962188
Baner,"7,739",18.56078441,73.77873671
Bhugaon,"5,698",18.50091558,73.75168253
Bhukum,"4,766",18.49418999,73.72149641
Bhumkar Nagar,"6,364",18.45035175,73.83310391
Bhusari Colony,"9,221",18.50892682,73.79042652
Bibwewadi,"8,309",18.47151672,73.86646342
Boat Club Road,"13,908",18.53968874,73.88053135
Borade Vasti,"5,127",18.66499359,73.83771832
Camp,"8,714",18.51879157,73.88440404
Chakan,"3,566",18.76351461,73.86135639
Chandani Chowk,"7,010",18.50685734,73.77920502
Charholi Budruk,"5,290",18.64534224,73.89972823
Chikhali,"5,103",18.68022691,73.80974204
Chinchwad,"6,777",18.6305972,73.79660465
Dahanukar Colony,"10,621",18.49628835,73.81128453
Dange Chowk,"6,179",18.61356332,73.76657164
Dattwadi,"6,093",18.63265974,73.74084926
Dehu Road,"5,168",18.68114237,73.73461168
Dhankawadi,"5,872",18.46397948,73.8510751
Dhanori,"5,542",18.59018923,73.89496214
Dhanori Lohegaon Road,"5,269",18.57489895,73.87984583
Dhayari,"5,128",18.43924171,73.80800853
Dighi,"5,296",18.6150858,73.87292538
EON Free Zone,"7,218",18.55157445,73.95098694
Erandwane,"12,993",18.50787723,73.83128916
F C Road,"13,475",18.51737655,73.84170353
Fatima Nagar,"6,624",18.50461955,73.90138584
Gahunje,"6,939",18.66834376,73.70346671
Ganesh Peth,"7,388",18.51438376,73.86626657
Gangadham Kondhwa Road,"8,500",18.47857259,73.87506933
Ghorpadi,"9,560",18.52221016,73.90051198
Gultekdi,"9,328",18.48773548,73.86983597
Hadapsar,"7,204",18.50083219,73.93323831
Handewadi,"4,268",18.45461905,73.93156661
Hinjewadi,"5,761",18.59825714,73.7155017
Kalewadi,"6,140",18.61750706,73.79044621
Kalubai Nagar,"4,885",18.57756918,73.9848131
Kalyani Nagar,"9,854",18.5481268,73.90075239
Karve Nagar,"8,891",18.49152204,73.82139115
Karve Road,"13,401",18.49945241,73.81361245
Kasba Peth,"7,390",18.52405676,73.85984136
Kaspate Vasti,"6,759",18.59263212,73.77184492
Katraj,"5,648",18.44668733,73.85967569
Keshav Nagar,"6,332",18.5324545,73.94462995
Kharadi,"7,136",18.55385687,73.94768923
Kirkitwadi,"4,432",18.44462998,73.78885876
Kiwale,"5,172",18.66134144,73.72937806
Kondhwa,"5,815",18.46940095,73.88933341
Kondhwa Budruk,"5,491",18.44129462,73.89152572
Koregaon Park,"11,021",18.53695039,73.89399319
Kothrud,"10,217",18.5028226,73.80594678
Koyte Vasti,"6,120",18.62768868,73.73621076
Law College Road,"14,179",18.51171339,73.8291638
Laxman Nagar-Baner,"9,266",18.57046881,73.77110113
Laxmi Nagar-Balewadi,"7,759",18.57503928,73.77904714
Lohgaon,"5,230",18.59290038,73.92598247
Loni Kalbhor,"3,839",18.4882539,74.02465758
Lulla Nagar,"6,879",18.48650606,73.88300934
Magarpatta City,"8,389",18.51071882,73.9298901
Magarpatta Road,"7,564",18.51583557,73.93287089
Mahalunge,"6,218",18.57376453,73.75623019
Malwadi,"6,603",18.5079941,73.94160005
Mamurdi,"5,232",18.67358523,73.71818655
Manjari Khurd,"5,962",18.52745669,73.99222423
Manjri,"5,661",18.52182834,73.9841508
Manjri Budruk,"5,629",18.51997044,73.97987035
Market Yard,"8,647",18.48546542,73.86818376
Marunji,"5,147",18.61206638,73.71569736
Mayur Colony,"13,083",18.50418735,73.81597386
Mhada Colony Viman Nagar,"8,365",18.57513846,73.90770649
Model Colony,"13,757",18.53201255,73.83588839
Mohammed Wadi,"6,104",18.47545418,73.91669764
Mohan Nagar Co op Society,"6,962",18.55421488,73.76787915
Moshi,"5,056",18.66852844,73.84885597
Mundhwa,"6,364",18.53245618,73.9325313
Narayan Peth,"9,821",18.51491581,73.84849947
Narhe,"4,646",18.44704741,73.82661411
New Kalyani Nagar,"7,916",18.54227886,73.92160353
NIBM Road,"6,475",18.47680747,73.89634653
Nigdi,"6,707",18.64881772,73.77005977
Nilanjali Housing Colony,"11,175",18.54842034,73.89536176
Park Street,"7,943",18.59699238,73.77887195
Parvati Paytha,"9,743",18.48630538,73.84977194
Pashan,"7,432",18.54129445,73.79287349
Paud Road,"7,713",18.50838206,73.79084764
Phursungi,"4,631",18.47139607,73.97688673
Pimple Gurav,"6,744",18.58696031,73.81353519
Pimple Nilakh,"8,113",18.58017916,73.78525367
Pimple Saudagar,"7,365",18.59852732,73.79759959
Pimpri Chinchwad,"6,399",18.63027187,73.79076816
Pirangut,"4,230",18.51186374,73.6767951
Pisoli,"4,500",18.45071131,73.90526574
Porwal Road,"5,322",18.61056042,73.91136644
Prabhat Road,"15,709",18.51390975,73.83542317
Punawale,"5,566",18.63266347,73.73637621
Raghav Nagar-Vadgaon Budruk,"4,294",18.55594862,73.93107501
Rahatni,"6,899",18.60388718,73.7847064
Rakshak Nagar,"7,146",18.55195906,73.9452629
Rambaug Colony,"11,268",18.51658854,73.8166894
Ravet,"5,671",18.66032826,73.73211933
Sadashiv Peth,"10,134",18.50857515,73.84737057
Salisbury Park,"10,406",18.49015181,73.87424263
Salunkhe Vihar,"6,950",18.47930628,73.90450162
Sasane Colony,"6,328",18.53244526,73.94113679
Sasane Nagar,"4,812",18.49270539,73.93087681
Satara Road,"5,497",18.4526667,73.8570743
Sector 29,"5,809",18.64794534,73.75124537
Senapati Bapat Road,"12,288",18.52550731,73.82947448
Shivaji Nagar,"13,439",18.53147936,73.84418764
Shivane,"4,360",18.46610399,73.78210242
Sinhagad Road,"6,695",18.45749092,73.80523256
Solapur Road,"3,482",18.50169795,73.93143686
Somatne Phata,"4,072",18.70699358,73.69026696
Sopan Baug,"10,594",18.51456957,73.90398654
Sukhsagar Nagar,"5,541",18.45701125,73.86918175
Sus,"6,071",18.55333959,73.75306404
Talegaon Dabhade,"4,103",18.73249487,73.67487853
Tathawade,"6,076",18.62791282,73.74490222
Thergaon,"6,462",18.61388431,73.77516728
Thite Nagar,"6,915",18.54455571,73.93997202
Tingre Nagar,"5,826",18.5761374,73.89117121
Ubale Nagar,"5,427",18.56429163,73.95767973
Uday Baug,"9,624",18.51227605,73.90536992
Undri,"5,120",18.45653734,73.90933635
Uruli Kanchan,"3,376",18.48728742,74.13288179
Vadgaon Budruk,"4,527",18.46641601,73.82465271
Vadgaon Maval,"4,202",18.73914308,73.63656107
Veerbhadra Nagar,"7,691",18.56345405,73.77093729
Viman Nagar,"8,491",18.5681172,73.91426725
Vishal Nagar,"7,665",18.58622253,73.78116575
Vishrantwadi,"6,572",18.57241744,73.87824667
Wadgaon Budruk,"6,274",18.46021187,73.8174555
Wadgaon Sheri,"7,074",18.55171309,73.92082211
Wagholi,"4,895",18.58072824,73.98503244
Wakad,"6,682",18.60101096,73.76389735
Wanowrie,"6,268",18.49447428,73.90949396
Warje,"6,822",18.48366312,73.78917169
Yashwant Nagar,"4,292",18.55576942,73.93515678
Yerawada,"7,532",18.56065038,73.87979518
Yewale Wadi,"4,748",18.42985353,73.88890151